Name	Brand	Category	SamplePriceGBP
iCUE 4000X RGB Case	Corsair	Case	129.99
H5 Flow Case	NZXT	Case	79.99
H7 Flow Case	NZXT	Case	109.99
H9 Flow Case	NZXT	Case	139.99
Pop Air Case	Fractal	Case	74.99
North Case	Fractal	Case	109.99
Meshify 2 Case	Fractal	Case	144.99
CX550 PSU	Corsair	PSU	49.99
CX650 PSU	Corsair	PSU	69.99
RM650x PSU	Corsair	PSU	89.99
RM750x PSU	Corsair	PSU	109.99
RM850x PSU	Corsair	PSU	129.99
RM1000x PSU	Corsair	PSU	149.99
Focus GX-650 PSU	Seasonic	PSU	89.99
Focus GX-750 PSU	Seasonic	PSU	109.99
Focus GX-850 PSU	Seasonic	PSU	129.99
Focus GX-1000 PSU	Seasonic	PSU	149.99
NH-U12S Cooler	Noctua	Cooling	59.99
NH-U12A Cooler	Noctua	Cooling	79.99
NH-D15 Cooler	Noctua	Cooling	99.99
Freezer 34 eSports Duo Cooler	Arctic	Cooling	29.99
Freezer 36 Cooler	Arctic	Cooling	49.99
Liquid Freezer III 240 Cooler	Arctic	Cooling	69.99
Liquid Freezer III 360 Cooler	Arctic	Cooling	89.99
Pure Rock 2 Cooler	be quiet!	Cooling	34.99
Dark Rock 4 Cooler	be quiet!	Cooling	59.99
Dark Rock Pro 4 Cooler	be quiet!	Cooling	84.99
Ryzen 9 7900X	AMD	CPU	359.99
Kingston 1TB NVMe SSD	Kingston	Storage	54.99
Samsung 980 Pro 2TB SSD	Samsung	Storage	139.99
ASUS ROG STRIX B650E	ASUS	Motherboard	249.99
MSI MAG B660M Mortar	MSI	Motherboard	149.99
Core i9-13900K	Intel	CPU	479.99
